type;brand;brand_cyrillic;model;model_cyrillic;generation;body;modification;year_from;year_to;popular
TRUCK;Altkam;Альткам;5443;5443;;;;;;0
TRUCK;Altkam;Альткам;6491;6491;;;;;;0
TRUCK;Altkam;Альткам;6550;;;;;;;0
TRUCK;ASHOK LEYLAND;Ашок Лиланд;BOSS;Босс;;;;;;0
TRUCK;ASHOK LEYLAND;Ашок Лиланд;Partner;Партнер;;;;;;0
TRUCK;ASTRA;Астра;HD7 Serie;Эйч Ди 7 Серия;;;;;;0
TRUCK;ASTRA;Астра;HD8 Serie;Эйч Ди 8 Серия;;;;;;0
TRUCK;ASTRA;Астра;HD9 Serie;Эйч Ди 9 Серия;;;;;;0
TRUCK;Avia;Авиа;A21;А21;;;;;;0
TRUCK;Avia;Авиа;A31;А31;;;;;;0
TRUCK;Avia;Авиа;A60;А60;;;;;;0
TRUCK;Avia;Авиа;A65;А65;;;;;;0
TRUCK;Avia;Авиа;A75;А75;;;;;;0
TRUCK;Avia;Авиа;A80;А80;;;;;;0
TRUCK;Avia;Авиа;AD100;АД100;;;;;;0
TRUCK;Avia;Авиа;D - Series;Д - Серия;;;;;;0
TRUCK;BAW;БАВ;Fenix;Феникс;;;;;;0
TRUCK;Bedford;бедфорд;TK;ТК;;;;;;0
TRUCK;Beiben (North Benz);Бейбен;ND3250;НД3250;;;;;;0
TRUCK;BMC;Би-Эм-Си;Fatih;Фатих;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-518;ПРО-518;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-617;Про-617;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-620;Про-620;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-622;Pro-622;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-625;Про-625;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-628;Про-628;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-822;Про-822;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-827;Про-827;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-832;Pro-832;;;;;;0
TRUCK;BMC;Би-Эм-Си;Pro-935;Про-935;;;;;;0
TRUCK;Bucher;Басхер;Duro;Дуро;;;;;;0
TRUCK;Bucher;Басхер;LTV;ЛТВ;;;;;;0
TRUCK;C&C Trucks;СэндС Тракс;N332;Н322;;;;;;0
TRUCK;CAMC;КАМК;HN 3250;ХН 3250;;;;;;0
TRUCK;CAMC;КАМК;HN 3310;ХН 3310;;;;;;0
TRUCK;Changan;Чанган;SC1030/1040;;;;;;;0
TRUCK;Chevrolet;Шевроле;Kodiak;Кодиак;;;;;;1
TRUCK;Chevrolet;Шевроле;T-Series;Т-Серия;;;;;;1
TRUCK;Chevrolet;Шевроле;W-Series;В-Серия;;;;;;1
TRUCK;Daewoo;Дэу;Novus;Новус;;;;;;1
TRUCK;Daewoo;Дэу;Prima;Прима;;;;;;1
TRUCK;Daewoo;Дэу;Ultra Novus;Ультра Новус;;;;;;1
TRUCK;DAF;ДАФ;CF (2013-н.в);Си Эф;;;;;;0
TRUCK;DAF;ДАФ;CF 65;ЦФ 65;;;;;;0
TRUCK;DAF;ДАФ;CF 75;ЦФ 75;;;;;;0
TRUCK;DAF;ДАФ;CF 85;ЦФ 85;;;;;;0
TRUCK;DAF;ДАФ;F-series;Ф Серия;;;;;;0
TRUCK;DAF;ДАФ;LF (2013-н.в);Эль Эф;;;;;;0
